annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;;;;;;;;;
2016114;MERCREDI;21/09/2016;21/11/2016;30;15;40;13;20;10;13-15-20-30-40+10;2;2000000;5;45856,7;676;729,9;25793;8,2;308251;4,9;317940;2;9122584;eur;;;;;;;;;
2016113;LUNDI   ;19/09/2016;19/11/2016;41;37;20;18;45;10;18-20-37-41-45+10;0;0;1;176618,6;431;881,9;12309;13,3;190781;6,1;247054;2;6267109;eur;;;;;;;;;
2016112;SAMEDI  ;17/09/2016;17/11/2016;12;3;4;34;25;2;3-4-12-25-34+2;0;0;4;73685,4;782;811,1;33135;8,2;434589;4,5;449387;2;8981387;eur;;;;;;;;;
2016111;MERCREDI;14/09/2016;14/11/2016;29;18;37;7;47;7;7-18-29-37-47+7;1;9000000;1;233983;441;1141,8;22154;9,8;297125;5,2;688214;2;134629;eur;;;;;;;;;
2016110;LUNDI   ;12/09/2016;12/11/2016;6;5;11;13;22;10;5-6-11-13-22+10;0;0;9;20475,5;1046;379,1;33104;5,1;341260;3,5;274012;2;6903923;eur;;;;;;;;;
2016109;SAMEDI  ;10/09/2016;10/11/2016;46;38;29;31;19;6;19-29-31-38-46+6;0;0;3;104596,3;442;1527,8;23235;12,5;357457;5,8;621435;2;3817627;eur;;;;;;;;;
2016108;MERCREDI;07/09/2016;07/11/2016;26;34;38;13;42;9;13-26-34-38-42+9;0;0;3;76371,7;595;828,7;19969;10,7;267944;5,6;397661;2;895001;eur;;;;;;;;;
2016107;LUNDI   ;05/09/2016;05/11/2016;43;48;7;42;30;4;7-30-42-43-48+4;0;0;1;174763;258;1457,8;12867;12,6;200579;5,8;315024;2;7839927;eur;;;;;;;;;
2016106;SAMEDI  ;03/09/2016;03/11/2016;36;24;45;49;47;5;24-36-45-47-49+5;0;0;4;74488,1;502;1277,3;23575;11,7;317730;6,2;647220;2;5784401;eur;;;;;;;;;
2016105;MERCREDI;31/08/2016;31/10/2016;12;26;19;47;10;1;10-12-19-26-47+1;0;0;3;70837,6;709;645;27053;7,3;330541;4,2;320832;2;5801853;eur;;;;;;;;;
2016104;LUNDI   ;29/08/2016;29/10/2016;44;36;49;25;48;2;25-36-44-48-49+2;0;0;0;0;281;1796,4;11767;12,6;170349;6,2;245428;2;7786379;eur;;;;;;;;;
2016103;SAMEDI  ;27/08/2016;27/10/2016;45;21;2;31;23;8;2-21-23-31-45+8;1;8000000;1;299320,3;616;1045,7;25405;10,9;372599;5,3;555596;2;6950634;eur;;;;;;;;;
2016102;MERCREDI;24/08/2016;24/10/2016;3;4;34;41;42;2;3-4-34-41-42+2;0;0;0;0;207;3329,8;12565;16,2;234970;6,2;350486;2;7238433;eur;;;;;;;;;
2016101;LUNDI   ;22/08/2016;22/10/2016;21;44;42;12;34;7;12-21-34-42-44+7;0;0;0;0;346;1558,8;13902;11,4;204494;5,5;491544;2;1431628;eur;;;;;;;;;
2016100;SAMEDI  ;20/08/2016;20/10/2016;35;10;28;43;15;9;10-15-28-35-43+9;0;0;0;0;499;1798,2;23390;11,3;344291;5,5;493062;2;1808879;eur;;;;;;;;;
2016099;MERCREDI;17/08/2016;17/10/2016;12;21;35;24;40;4;12-21-24-35-40+4;0;0;0;0;369;1782,7;17537;11,1;260452;5,3;375030;2;3092621;eur;;;;;;;;;
2016098;LUNDI   ;15/08/2016;15/10/2016;16;31;25;27;26;7;16-25-26-27-31+7;0;0;0;0;287;1551,1;13231;9,9;183145;5,1;417399;2;1727775;eur;;;;;;;;;
2016097;SAMEDI  ;13/08/2016;13/10/2016;33;1;9;6;46;6;1-6-9-33-46+6;0;0;2;137957,2;589;1008,1;28036;9,1;377089;4,8;536974;2;2513024;eur;;;;;;;;;
2016096;MERCREDI;10/08/2016;10/10/2016;49;30;19;17;7;3;7-17-19-30-49+3;2;1500000;5;42244,7;715;635,7;27498;7,1;339930;4,1;390924;2;5789723;eur;;;;;;;;;
2016095;LUNDI   ;08/08/2016;08/10/2016;1;26;2;36;3;7;1-2-3-26-36+7;0;0;0;0;241;2079,9;13967;10,6;201447;5,2;459442;2;6182488;eur;;;;;;;;;
2016094;SAMEDI  ;06/08/2016;06/10/2016;44;12;7;25;31;10;7-12-25-31-44+10;1;2000000;4;69651;1045;573,7;34184;7,6;420836;4,4;398100;2;9995150;eur;;;;;;;;;
2016093;MERCREDI;03/08/2016;03/10/2016;18;27;39;44;24;3;18-24-27-39-44+3;1;6000000;0;0;371;1880,4;19088;10,8;271612;5,4;416318;2;9011543;eur;;;;;;;;;
2016092;LUNDI   ;01/08/2016;01/10/2016;45;29;36;42;24;7;24-29-36-42-45+7;0;0;0;0;274;1932,6;12805;12,2;184018;6;481585;2;5173424;eur;;;;;;;;;
2016091;SAMEDI  ;30/07/2016;29/09/2016;30;9;22;46;23;9;9-22-23-30-46+9;0;0;1;287112;556;1111,3;27579;9,7;392885;4,8;501625;2;6081717;eur;;;;;;;;;
2016090;MERCREDI;27/07/2016;26/09/2016;34;7;44;19;8;6;7-8-19-34-44+6;0;0;2;103272,8;443;1003,4;20202;9,5;294030;4,6;403222;2;2620700;eur;;;;;;;;;
2016089;LUNDI   ;25/07/2016;24/09/2016;3;29;46;5;1;4;1-3-5-29-46+4;0;0;0;0;342;1446,2;16911;8,6;215142;4,8;280995;2;5042975;eur;;;;;;;;;
2016088;SAMEDI  ;23/07/2016;22/09/2016;2;27;33;21;15;10;2-15-21-27-33+10;1;3000000;5;56675;729;836,5;28974;9,1;381397;4,9;401550;2;9380754;eur;;;;;;;;;
2016087;MERCREDI;20/07/2016;19/09/2016;32;1;13;29;46;1;1-13-29-32-46+1;0;0;1;206180,2;326;1361,1;15828;12,1;254400;5,4;303484;2;1930083;eur;;;;;;;;;
2016086;LUNDI   ;18/07/2016;17/09/2016;29;25;2;39;20;7;2-20-25-29-39+7;1;14000000;0;0;376;1567,6;15855;11;231684;5,3;533412;2;3145516;eur;;;;;;;;;
2016085;SAMEDI  ;16/07/2016;15/09/2016;45;21;46;48;11;4;11-21-45-46-48+4;0;0;1;308278,7;475;1396,7;24269;11,8;359263;5,7;546367;2;5611483;eur;;;;;;;;;
2016084;MERCREDI;13/07/2016;12/09/2016;30;28;47;34;7;10;7-28-30-34-47+10;0;0;1;252644;395;1376,5;20626;11,4;317656;5,3;355120;2;9675275;eur;;;;;;;;;
2016083;LUNDI   ;11/07/2016;10/09/2016;36;35;2;25;27;4;2-25-27-35-36+4;0;0;1;189469,3;260;1568,3;12973;13,6;214699;5,8;354722;2;6007990;eur;;;;;;;;;
2016082;SAMEDI  ;09/07/2016;08/09/2016;46;15;6;39;3;10;3-6-15-39-46+10;0;0;1;375852,7;670;1207,3;31834;11;463408;5,4;552138;2;9965193;eur;;;;;;;;;
2016081;MERCREDI;06/07/2016;05/09/2016;26;38;47;13;16;8;13-16-26-38-47+8;1;3000000;4;53128,2;406;1126,5;18075;10,9;260136;5,4;381158;2;701858;eur;;;;;;;;;
2016080;LUNDI   ;04/07/2016;03/09/2016;12;10;25;22;47;1;10-12-22-25-47+1;0;0;3;52832,6;477;715,1;19043;7,7;242608;4,3;241636;2;3612752;eur;;;;;;;;;
2016079;SAMEDI  ;02/07/2016;01/09/2016;8;24;31;17;16;5;8-16-17-24-31+5;1;3000000;2;144977,7;738;845,5;31231;8,6;402942;4,7;613655;2;8368829;eur;;;;;;;;;
2016078;MERCREDI;29/06/2016;29/08/2016;17;22;9;14;48;10;9-14-17-22-48+10;0;0;1;205377,9;539;820;23200;8,2;298767;4,5;280502;2;1454357;eur;;;;;;;;;
2016077;LUNDI   ;27/06/2016;27/08/2016;22;23;8;41;24;7;8-22-23-24-41+7;1;2000000;1;155301,4;258;1295,4;15236;9,5;210918;4,9;464862;2;7583851;eur;;;;;;;;;
2016076;SAMEDI  ;25/06/2016;25/08/2016;16;20;19;35;49;3;16-19-20-35-49+3;1;6000000;0;0;473;1934,7;23598;11,4;359578;5,3;534426;2;2282314;eur;;;;;;;;;
2016075;MERCREDI;22/06/2016;22/08/2016;4;27;10;36;5;9;4-5-10-27-36+9;0;0;1;212336,6;496;921,3;23347;8,4;317139;4,4;362933;2;5029997;eur;;;;;;;;;
2016074;LUNDI   ;20/06/2016;20/08/2016;38;4;45;13;43;10;4-13-38-43-45+10;0;0;2;82089,6;273;1294,2;13335;11,4;199286;5,4;220106;2;82327;eur;;;;;;;;;
2016073;SAMEDI  ;18/06/2016;18/08/2016;18;33;10;20;39;3;10-18-20-33-39+3;0;0;2;146790,5;521;1212,7;24360;11,2;372680;5,2;541961;2;6339868;eur;;;;;;;;;
2016072;MERCREDI;15/06/2016;15/08/2016;34;2;8;5;33;10;2-5-8-33-34+10;0;0;4;53209,8;354;1293,9;18293;10,8;276655;5,1;292229;2;9010963;eur;;;;;;;;;
2016071;LUNDI   ;13/06/2016;13/08/2016;28;36;5;21;8;8;5-8-21-28-36+8;1;2000000;0;0;383;1361,6;16894;9,1;231005;4,7;317251;2;8358912;eur;;;;;;;;;
2016070;SAMEDI  ;11/06/2016;11/08/2016;7;17;22;46;44;6;7-17-22-44-46+6;2;3500000;3;105317,7;823;826,2;32068;9,1;438038;4,8;625364;2;3181723;eur;;;;;;;;;
2016069;MERCREDI;08/06/2016;08/08/2016;45;6;8;49;33;9;6-8-33-45-49+9;0;0;1;226708;420;1161,7;19103;11;287375;5,2;389142;2;8975523;eur;;;;;;;;;
